customer_feedback,tenure,MonthlyCharges,Churn
Online security is a great added feature.,30,104.1,0
Great experience with minimal downtime.,53,19.05,0
Dependents also use the service with no issues.,39,25.0,0
Dependents find the network reliable and fast.,9,19.05,0
Clear billing process with no surprise charges.,39,81.9,0
Billing is seamless with paperless billing.,8,69.7,0
Online security features meet my needs well.,51,90.15,0
"Helpful tech support, available when needed.",71,25.35,0
Online security features meet my needs well.,71,24.65,0
"Helpful tech support, available when needed.",70,19.55,0
Frequent outages even after being a long-term customer.,1,25.25,1
Reliable monthly charges and no unexpected fees.,38,60.0,0
Happy with the consistent service over the years.,28,89.9,0
Enjoying affordable rates and stable monthly charges.,32,19.4,0
Flexible contract terms suit my needs perfectly.,49,49.8,0
Dependents find the network reliable and fast.,37,24.1,0
Happy with the package offered for my household.,10,54.25,0
"Helpful tech support, available when needed.",67,109.9,0
Enjoying affordable rates and stable monthly charges.,7,35.5,0
Online security features keep my data safe.,51,87.55,0
Contract terms do not accommodate long-term customers.,9,45.15,1
I appreciate the flexible contract options.,9,88.4,0
Tenure discounts make the service worth it.,4,50.8,0
Satisfied with the support offered by tech specialists.,71,99.0,0
Monthly charges have unexpected increases frequently.,50,84.4,1
"Helpful tech support, available when needed.",24,96.55,0
Stable and affordable service throughout my tenure.,22,59.75,0
Tech support was very helpful when I needed assistance.,44,111.5,0
Paperless billing is convenient and eco-friendly.,33,24.25,0
Technical support often leaves issues unresolved.,1,75.1,1
High charges without any added benefits.,54,70.15,1
Frequent outages even after being a long-term customer.,42,101.75,1
Partner and dependents also dissatisfied with service.,1,45.8,1
Partner and dependents also satisfied with the plan.,1,20.5,0
I appreciate the flexible contract options.,30,70.4,0
Great experience with minimal downtime.,1,30.55,0
Good monthly rates and easy-to-understand billing.,16,84.9,0
Tech support response times are too slow.,1,20.1,1
Monthly charges have unexpected increases frequently.,9,40.65,1
Support team rarely resolves issues in one call.,46,101.0,1
Billing statements are often unclear or incorrect.,1,69.1,1
Online security is a great added feature.,71,54.5,0
I appreciate the flexible contract options.,43,75.35,0
Happy with the consistent service over the years.,50,44.45,0
Contract renewal terms lack flexibility.,13,75.0,1
Contract renewal terms lack flexibility.,19,100.0,1
Tenure discounts make the service worth it.,41,98.05,0
Service quality drops significantly during peak hours.,1,71.15,1
Monthly charges feel high for the service provided.,24,54.15,1
Enjoying affordable rates and stable monthly charges.,40,63.9,0
Happy with the consistent service over the years.,3,69.15,0
Partnered plan has been cost-effective and reliable.,37,64.65,0
Billing statements are often unclear or incorrect.,67,108.75,1
Paperless billing is convenient and eco-friendly.,32,98.85,0
Monthly charges are inconsistent and unpredictable.,6,49.15,1
Enjoying good service quality over the years.,32,89.6,0
Clear billing process with no surprise charges.,59,83.25,0
Online security features meet my needs well.,30,70.25,0
Partner and dependents also dissatisfied with service.,20,19.4,1
Online security features keep my data safe.,27,24.5,0
Frequent contract changes without notice.,20,79.15,1
Partnered plan has been cost-effective and reliable.,9,20.1,0
Smooth billing system with paperless convenience.,68,73.0,0
Enjoying affordable rates and stable monthly charges.,69,61.4,0
Happy with the consistent service over the years.,26,84.3,0
Tech support was very helpful when I needed assistance.,69,19.9,0
Tech support has been quick and effective every time.,11,20.4,0
Online security features keep my data safe.,1,50.75,0
Great service with no interruptions during my tenure.,10,20.45,0
Paperless billing is convenient and eco-friendly.,55,75.75,0
Online security features meet my needs well.,44,65.4,0
Partnered plan does not seem cost-effective anymore.,46,80.4,1
Happy with the package offered for my household.,69,59.75,0
Dependents also use the service with no issues.,11,78.5,0
Dependents face frequent network drops.,11,102.0,1
Online security features have given me peace of mind.,29,48.95,0
Reliable monthly charges and no unexpected fees.,57,99.65,0
Stable and affordable service throughout my tenure.,28,18.25,0
Flexible contract terms suit my needs perfectly.,42,54.55,0
Dependents complain of frequent disconnections.,2,20.65,1
Good monthly rates and easy-to-understand billing.,23,40.65,0
Tenure discounts make the service worth it.,18,20.45,0
Flexible contract terms suit my needs perfectly.,62,24.8,0
Frequent network issues during peak usage.,1,70.8,1
Frequent billing issues make the service frustrating.,16,89.05,1
Partnered plan lacks sufficient network stability.,3,96.6,1
I appreciate the flexible contract options.,67,88.8,0
Happy with the consistent service over the years.,62,20.05,0
Partner and dependents also dissatisfied with service.,57,104.5,1
Dependents also use the service with no issues.,2,69.8,0
I appreciate the flexible contract options.,23,77.15,0
Online security features meet my needs well.,25,35.05,0
Tenure discounts make the service worth it.,72,108.1,0
Great experience with minimal downtime.,2,84.05,0
Tech support was very helpful when I needed assistance.,8,20.2,0
Service quality drops significantly during peak hours.,5,50.6,1
Billing is seamless with paperless billing.,35,49.2,0
Dependents find the network reliable and fast.,24,24.6,0
The tech support team is quick and professional.,2,71.65,0
Online security features meet my needs well.,72,104.9,0
The support team made the setup process smooth.,41,106.5,0
Contract terms feel rigid and hard to adjust.,4,49.35,1
Happy with the consistent service over the years.,26,75.5,0
Service quality drops significantly during peak hours.,7,94.25,1
Dependents complain of frequent disconnections.,1,68.95,1
Flexible contracts that fit my lifestyle.,4,58.5,0
Monthly charges are reasonable for the service.,48,78.9,0
Contract renewal terms lack flexibility.,2,93.85,1
Dependents find the network reliable and fast.,12,79.2,0
Partner and dependents also satisfied with the plan.,60,109.45,0
I appreciate the flexible contract options.,55,59.2,0
The tech support team is quick and professional.,1,29.15,0
Partnered plan does not seem cost-effective anymore.,4,76.05,1
Issues with online security features persisting.,1,24.45,1
Flexible contract terms suit my needs perfectly.,42,66.5,0
Paperless billing is convenient and eco-friendly.,1,49.55,0
Tech support rarely resolves issues promptly.,7,89.35,1
Online security is a great added feature.,3,73.6,0
Satisfied with the support offered by tech specialists.,72,82.65,0
The partner-friendly plans fit our budget well.,15,49.0,0
Partnered plan does not seem cost-effective anymore.,4,80.35,1
The support team made the setup process smooth.,11,25.2,0
Great experience with minimal downtime.,5,25.45,0
Monthly charges have unexpected increases frequently.,1,55.8,1
Great experience with minimal downtime.,72,110.9,0
Great service with no interruptions during my tenure.,55,77.75,0
Dependents also use the service with no issues.,40,26.2,0
Happy with the consistent service over the years.,57,19.9,0
Tech support is not helpful during peak times.,1,79.05,1
Partnered plan lacks sufficient network stability.,1,95.0,1
Tech support response times are too slow.,1,25.2,1
Great service with no interruptions during my tenure.,52,80.85,0
Monthly charges are inconsistent and unpredictable.,41,98.4,1
Enjoying affordable rates and stable monthly charges.,43,56.35,0
Flexible contracts that fit my lifestyle.,47,19.3,0
Smooth billing system with paperless convenience.,3,50.4,0
Frequent contract changes without notice.,66,79.4,1
I appreciate the flexible contract options.,55,55.25,0
Partnered plan has been cost-effective and reliable.,29,19.1,0
Flexible contracts that fit my lifestyle.,12,84.05,0
Great experience with minimal downtime.,66,105.2,0
Dependents report frequent service interruptions.,35,101.4,1
Tenure discounts were not applied as promised.,10,89.8,1
Dependents find the network reliable and fast.,27,75.75,0
Dependents find the network reliable and fast.,58,95.3,0
Monthly billing errors are a common occurrence.,54,109.75,1
The support team made the setup process smooth.,9,19.85,0
Online security lags compared to competitors.,2,19.3,1
Flexible contract terms suit my needs perfectly.,6,69.1,0
Contract terms do not accommodate long-term customers.,26,91.25,1
Flexible contract terms suit my needs perfectly.,9,20.25,0
Stable and affordable service throughout my tenure.,8,54.75,0
"Helpful tech support, available when needed.",12,81.45,0
Support team rarely resolves issues in one call.,15,49.1,1
Good monthly rates and easy-to-understand billing.,43,80.2,0
Tenure discounts make the service worth it.,42,100.3,0
Monthly billing errors are a common occurrence.,31,65.25,1
Partner and dependents also satisfied with the plan.,66,90.95,0
Monthly billing errors are a common occurrence.,18,85.45,1
Enjoying good service quality over the years.,1,20.0,0
Tenure discounts were not applied as promised.,61,94.1,1
Partner and dependents also satisfied with the plan.,10,79.85,0
Paperless billing fails to capture accurate details.,1,71.65,1
Tenure discounts make the service worth it.,18,73.55,0
Partnered plan lacks sufficient network stability.,24,104.65,1
Flexible contract terms suit my needs perfectly.,3,19.3,0
Great experience with minimal downtime.,50,20.15,0
The tech support team is quick and professional.,1,44.55,0
Good monthly rates and easy-to-understand billing.,2,54.45,0
Enjoying affordable rates and stable monthly charges.,17,19.65,0
Dependents find the network reliable and fast.,69,105.0,0
